symbol,ISIN
IDEA,INE669E01016
YESBANK,INE528G01035
SUZLON,INE040H01021
PNB,INE160A01022
IDFCFIRSTB,INE092T01019
NMDC,INE584A01023
CANBK,INE476A01022
SAIL,INE114A01011
TATASTEEL,INE081A01020
TATAMOTORS,INE155A01022
ETERNAL,INE758T01015
ITC,INE154A01025
BHARATFORG,INE465A01025
HDFCBANK,INE040A01034
SBIN,INE062A01020
VEDL,INE205A01025
GAIL,INE129A01019
HINDZINC,INE267A01025
POWERGRID,INE752E01010
BANKBARODA,INE028A01039
MOTHERSON,INE775A01035
NATIONALUM,INE139A01034
BANKINDIA,INE084A01016
ONGC,INE213A01029
NTPC,INE733E01010
TCS,INE467B01029
BDL,INE171Z01026
IOC,INE242A01010
UNIONBANK,INE692A01016
TATAPOWER,INE245A01021
ICICIBANK,INE090A01021
JIOFIN,INE758E01017
BSE,INE118H01025
NHPC,INE848E01016
WIPRO,INE075A01022
BPCL,INE029A01011
AXISBANK,INE238A01034
ASHOKLEY,INE208A01029
RELIANCE,INE002A01018
LTF,INE498L01015
BHARTIARTL,INE397D01024
INDUSINDBK,INE095A01012
FEDERALBNK,INE171A01029
COALINDIA,INE522F01014
GMRAIRPORT,INE776C01039
INDUSTOWER,INE121J01017
HUDCO,INE031A01017
HINDALCO,INE038A01020
PAYTM,INE982J01020
ABCAPITAL,INE674K01013
INFY,INE009A01021
BAJFINANCE,INE296A01032
RECLTD,INE020B01018
RVNL,INE415G01027
HDFCLIFE,INE795G01014
MAXHEALTH,INE027H01010
VOLTAS,INE226A01021
VBL,INE200M01039
BIOCON,INE376G01013
SHRIRAMFIN,INE721A01047
JINDALSTEL,INE749A01030
CGPOWER,INE067A01029
FORTIS,INE061F01013
PFC,INE134E01011
DLF,INE271C01023
HCLTECH,INE860A01027
BLUESTARCO,INE472A01039
KOTAKBANK,INE237A01028
EXIDEIND,INE302A01020
GODREJCP,INE102D01028
HINDPETRO,INE094A01015
DRREDDY,INE089A01031
DIVISLAB,INE361B01024
INDIANB,INE562A01011
DABUR,INE016A01026
JSWENERGY,INE121E01018
ZYDUSLIFE,INE010B01027
KALYANKJIL,INE303R01014
INDHOTEL,INE053A01029
CIPLA,INE059A01026
JSWSTEEL,INE019A01038
AUROPHARMA,INE406A01037
SUNPHARMA,INE044A01036
M&M,INE101A01026
PRESTIGE,INE811K01011
MARICO,INE196A01026
COFORGE,INE591G01025
ADANIPORTS,INE742F01042
JUBLFOOD,INE797F01020
OIL,INE274J01014
ADANIGREEN,INE364U01010
IGL,INE203G01027
CONCOR,INE111A01025
BEL,INE263A01024
LT,INE018A01030
ASIANPAINT,INE021A01026
NESTLEIND,INE239A01024
SBILIFE,INE123W01016
LODHA,INE670K01029
HINDUNILVR,INE030A01027
LICHSGFIN,INE115A01026
TATACONSUM,INE192A01025
ADANIENSOL,INE931S01010
UPL,INE628A01036
AUBANK,INE949L01017
TECHM,INE669C01036
MAZDOCK,INE249Z01020
GODREJPROP,INE484J01027
AMBUJACEM,INE079A01024
GLENMARK,INE935A01035
LUPIN,INE326A01037
UNITDSPR,INE854D01024
HEROMOTOCO,INE158A01026
TITAN,INE280A01028
HAVELLS,INE176B01034
TATAELXSI,INE670A01012
BAJAJFINSV,INE918I01026
KPITTECH,INE04I401011
TRENT,INE849A01020
ASTRAL,INE006I01046
SRF,INE647A01010
POLICYBZR,INE417T01026
ADANIENT,INE423A01024
HAL,INE066F01020
SBICARD,INE018E01016
GRASIM,INE047A01021
TATATECH,INE142M01025
MUTHOOTFIN,INE414G01012
CUMMINSIND,INE298A01020
MFSL,INE180A01020
PIDILITIND,INE318A01026
NAUKRI,INE663F01032
CHOLAFIN,INE121A01024
HDFCAMC,INE127D01025
INDIGO,INE646L01027
DMART,INE192R01011
BHEL,INE257A01026
MARUTI,INE585B01010
LTIM,INE214T01019
PIIND,INE603J01030
COLPAL,INE259A01022
TVSMOTOR,INE494B01023
ICICIGI,INE765G01017
OBEROIRLTY,INE093I01010
MPHASIS,INE356A01018
PATANJALI,INE619A01035
EICHERMOT,INE066A01021
PERSISTENT,INE262H01021
PHOENIXLTD,INE211B01039
